,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
22888,5/3/2000,4103 BEACON HILL S,Washington,King,Seattle,0.032941,0.04,8,37,0.2625,0.3,0,3,1.125,8,1,11,18.478261,42,6,40
22889,5/4/2000,4103 BEACON HILL S,Washington,King,Seattle,0.031118,0.04,8,37,0.279167,0.4,7,5,0.75,3,17,4,20.173913,35,6,33
22890,5/5/2000,4103 BEACON HILL S,Washington,King,Seattle,0.031059,0.04,9,37,0.2625,0.3,0,3,1,4,10,6,14.173913,27,5,25
22891,5/6/2000,4103 BEACON HILL S,Washington,King,Seattle,0.033588,0.042,9,39,0.270833,0.3,0,3,0.666667,2,0,3,13.826087,29,0,27
22892,5/7/2000,4103 BEACON HILL S,Washington,King,Seattle,0.027353,0.036,11,33,0.3,0.3,0,3,1.916667,4,15,6,15.956522,27,17,25
22893,5/8/2000,4103 BEACON HILL S,Washington,King,Seattle,0.025429,0.034,19,31,0.420833,0.5,13,6,3.090909,13,5,19,28.956522,47,1,44
22894,5/9/2000,4103 BEACON HILL S,Washington,King,Seattle,0.027929,0.032,18,30,0.45,0.7,16,8,0.913043,2,20,3,17.5,33,9,31
22895,5/10/2000,4103 BEACON HILL S,Washington,King,Seattle,0.032,0.037,9,34,0.620833,0.7,7,8,1.125,2,0,3,15.473684,40,5,38
22896,5/11/2000,4103 BEACON HILL S,Washington,King,Seattle,0.028824,0.034,8,31,0.570833,0.6,0,7,0.75,3,3,4,12,21,16,20
22897,5/12/2000,4103 BEACON HILL S,Washington,King,Seattle,0.024235,0.031,12,29,0.595833,0.7,11,8,1.75,5,9,7,25.478261,43,21,41
22898,5/13/2000,4103 BEACON HILL S,Washington,King,Seattle,0.015,0.018,7,17,0.675,0.7,0,8,2.166667,5,20,7,24.086957,39,18,37
22899,5/14/2000,4103 BEACON HILL S,Washington,King,Seattle,0.025118,0.032,10,30,0.6375,0.7,0,8,3.708333,9,8,13,24.826087,44,18,42
22900,5/15/2000,4103 BEACON HILL S,Washington,King,Seattle,0.038118,0.049,10,45,0.570833,0.9,7,10,3.826087,13,5,19,23.913043,51,6,48
22901,5/16/2000,4103 BEACON HILL S,Washington,King,Seattle,0.037824,0.043,13,40,0.3875,0.6,11,7,2.083333,10,9,14,20.217391,41,9,39
22902,5/17/2000,4103 BEACON HILL S,Washington,King,Seattle,0.022647,0.03,9,28,0.279167,0.4,23,5,0.166667,1,3,1,18.3,31,21,29
22903,5/18/2000,4103 BEACON HILL S,Washington,King,Seattle,0.023706,0.035,9,32,0.3375,0.4,0,5,1.333333,4,10,6,23.695652,37,5,35
22904,5/19/2000,4103 BEACON HILL S,Washington,King,Seattle,0.014706,0.029,9,27,0.308333,0.4,0,5,2.833333,13,19,19,17.565217,36,21,34
22905,5/20/2000,4103 BEACON HILL S,Washington,King,Seattle,0.032706,0.036,16,33,0.279167,0.4,0,5,1.791667,8,0,11,13.217391,31,0,29
22906,5/21/2000,4103 BEACON HILL S,Washington,King,Seattle,0.02,0.029,7,27,0.208333,0.3,18,3,0.166667,2,0,3,9.956522,16,14,15
22907,5/22/2000,4103 BEACON HILL S,Washington,King,Seattle,0.030412,0.038,8,35,0.279167,0.4,18,5,1.608696,6,19,9,15.391304,39,19,37
22908,5/23/2000,4103 BEACON HILL S,Washington,King,Seattle,0.033059,0.041,10,38,0.270833,0.3,0,3,2.25,3,3,4,15.35,31,21,29
